No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,18161.39,25.1,54.47,0.80%,1472407
2,AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,15989.9,,13.64,1.26%,11333802
3,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,509489.03,14.13,591.48,0.24%,8700558
4,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,82372.14,20.08,51.61,-0.90%,4279011
5,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,14868.2,44.74,64.87,-0.48%,2151107
6,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,59670.51,27.82,38.67,-0.18%,3652377
7,ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,34476.32,9.34,102.01,-0.30%,1533089
8,ACN,Accenture plc,Technology,Information Technology Services,Ireland,53722.74,18.7,79.84,-0.47%,2387089
9,ACT,Actavis plc,Healthcare,Drugs - Generic,USA,36253.79,,207.77,1.68%,3070315
10,ADBE,Adobe Systems Inc.,Technology,Application Software,USA,31152.92,118.09,62.59,1.46%,2817700
11,ADI,Analog Devices Inc.,Technology,Semiconductor - Integrated Circuits,USA,15882.77,23.1,50.82,-0.92%,1527523
12,ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,USA,28355.06,21.41,43.24,-1.12%,3122117
13,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,37399.65,26.58,77.62,-0.44%,1287250
14,ADS,Alliance Data Systems Corporation,Services,Business Services,USA,13477.21,31.58,239.68,-0.92%,1082831
15,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,11000.54,48.42,48.42,0.83%,2322447
16,ADT,The ADT Corporation,Services,Security & Protection Services,USA,5512.13,16.52,30.07,-0.56%,3256297
17,AEE,Ameren Corporation,Utilities,Diversified Utilities,USA,10018.19,19.66,41.29,-0.05%,1413313
18,AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,26278.86,17.72,53.87,0.11%,3304609
19,AES,The AES Corporation,Utilities,Electric Utilities,USA,10663.49,38.76,14.73,1.94%,4599294
20,AET,Aetna Inc.,Healthcare,Health Care Plans,USA,25532.66,12.58,71.44,-0.01%,2287438
21,AFL,AFLAC Inc.,Financial,Accident & Health Insurance,USA,28728.45,9.36,63.17,0.72%,1670355
22,AGN,Allergan Inc.,Healthcare,Drug Manufacturers - Other,USA,50456.87,40.07,168.69,1.72%,3689285
23,AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,76712.18,8.72,52.94,-0.36%,7384602
24,AIV,Apartment Investment & Management Co.,Financial,REIT - Residential,USA,4551.01,107.41,31.15,1.04%,1368081
25,AIZ,Assurant Inc.,Financial,Accident & Health Insurance,USA,4855.16,10.09,67.63,0.33%,426121
26,AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,9773.41,33.66,54.53,2.75%,4222582
27,ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,25563.37,11.89,57.29,0.60%,2177536
28,ALLE,Allegion plc,Technology,Scientific & Technical Instruments,USA,4930.25,60.29,51.25,3.85%,722121
29,ALTR,Altera Corp.,Technology,Semiconductor - Specialized,USA,10098.14,23.59,32.08,-1.35%,5690866
30,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,31693.13,97.44,159.8,1.01%,1312828
31,AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA,22865,48.41,18.88,-0.94%,17215258
32,AME,Ametek Inc.,Industrial Goods,Diversified Machinery,USA,12935.88,25.12,52.75,0.06%,1190981
33,AMGN,Amgen Inc.,Healthcare,Biotechnology,USA,85359.32,18.31,112.76,0.90%,3636896
34,AMP,Ameriprise Financial Inc.,Financial,Asset Management,USA,21270.96,17.14,111.6,-0.03%,1224163
35,AMT,American Tower Corporation,Financial,REIT - Diversified,USA,34117.76,62.49,86.23,3.24%,3442231
36,AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,USA,141672.51,481.08,307.89,1.24%,4325659
37,AN,AutoNation Inc.,Services,Auto Dealerships,USA,6306.18,16.72,52.82,-0.32%,713706
38,AON,Aon Corporation,Financial,Insurance Brokers,USA,25710.93,24.19,85.39,0.60%,1388550
39,APA,Apache Corp.,Basic Materials,Independent Oil & Gas,USA,34274.61,15.91,87.04,0.28%,3636180
40,APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,50977.57,63.01,99.55,0.54%,2415138
41,APD,Air Products & Chemicals Inc.,Basic Materials,Chemicals - Major Diversified,USA,24925.92,24.88,117.42,-0.09%,887311
42,APH,Amphenol Corporation,Technology,Diversified Electronics,USA,15239.41,24.33,96.33,1.03%,728845
43,ARG,Airgas Inc.,Basic Materials,Chemicals - Major Diversified,USA,7569.81,22.11,102.35,-3.68%,2162368
44,ATI,Allegheny Technologies Inc.,Industrial Goods,Metal Fabrication,USA,4440.65,,40.89,-0.75%,889762
45,AVB,Avalonbay Communities Inc.,Financial,REIT - Residential,USA,17669.46,309.93,136.37,-0.13%,720592
46,AVP,Avon Products Inc.,Consumer Goods,Personal Products,USA,5952.01,,13.72,-10.21%,20985364
47,AVY,Avery Dennison Corporation,Consumer Goods,Business Equipment,USA,4652.63,19.31,48.48,-0.37%,700686
48,AXP,American Express Company,Financial,Credit Services,USA,91995.34,17.23,86.82,-0.70%,4678153
49,AZO,AutoZone Inc.,Services,Auto Parts Stores,USA,17505.23,17.74,526.79,-1.33%,200687
50,BA,Boeing Co.,Industrial Goods,Aerospace/Defense Products & Services,USA,93675.61,22.11,128.46,-0.43%,2802767
51,BAC,Bank of America Corporation,Financial,Money Center Banks,USA,158897.7,20.12,15.09,-0.33%,67831208
52,BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,40240.53,20.21,74.39,2.20%,5120163
53,BBBY,Bed Bath & Beyond Inc.,Services,Home Furnishing Stores,USA,13222.95,12.91,62.1,-0.05%,2632922
54,BBT,BB&T Corporation,Financial,Regional - Southeast Banks,USA,26756.94,14.43,37.24,-0.24%,2690134
55,BBY,Best Buy Co. Inc.,Services,Electronics Stores,USA,9029.98,13.28,26.02,0.35%,3287743
56,BCR,CR Bard Inc.,Healthcare,Medical Instruments & Supplies,USA,10525.41,14.86,138.02,0.50%,712276
57,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,21539.1,23.79,111.59,-1.27%,1077111
58,BEAM,"Beam, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,13810.11,37.26,83.47,0.00%,0
59,BEN,Franklin Resources Inc.,Financial,Asset Management,USA,33132.24,14.92,52.52,0.32%,1553825
60,BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,19055.96,30.25,89.84,0.13%,252968
61,BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services,USA,30143.66,26.49,69.14,-1.09%,3569331
62,BIIB,Biogen Idec Inc.,Healthcare,Biotechnology,USA,68017.1,35.67,286.75,-0.13%,1311564
63,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,38715.56,13.37,33.95,0.24%,4622107
64,BLK,"BlackRock, Inc.",Financial,Asset Management,USA,50278.36,17.06,301.05,0.02%,588656
65,BLL,Ball Corporation,Consumer Goods,Packaging & Containers,USA,8007.47,20.86,56.94,1.33%,1991753
66,BMS,"Bemis Company, Inc.",Consumer Goods,Packaging & Containers,USA,4055.14,19.58,40.13,-0.27%,788094
67,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,82053.16,31.95,49.52,-1.14%,8867153
68,BRCM,Broadcom Corp.,Technology,Semiconductor - Integrated Circuits,USA,17877.6,44.94,30.56,-0.78%,6897766
69,BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,212.95,0.01,129.06,0.16%,2654405
70,BSX,Boston Scientific Corporation,Healthcare,Medical Appliances & Equipment,USA,16675.72,,12.6,-0.08%,14400526
71,BTU,Peabody Energy Corp.,Basic Materials,Industrial Metals & Minerals,USA,5122.71,,18.88,-0.68%,7331076
72,BWA,BorgWarner Inc.,Consumer Goods,Auto Parts,USA,13849.89,22.47,60.66,-2.38%,2897001
73,BXP,Boston Properties Inc.,Financial,REIT - Office,USA,18091.56,29.19,118.23,0.93%,813810
74,C,"Citigroup, Inc.",Financial,Money Center Banks,USA,145113.5,11.26,47.76,-0.31%,10927228
75,CA,CA Technologies,Technology,Business Software & Services,USA,13495.79,13.05,30.14,0.00%,2118755
76,CAG,"ConAgra Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,12819.81,16.11,30.44,-0.23%,1864063
77,CAH,"Cardinal Health, Inc.",Services,Drugs Wholesale,USA,22329,61.43,65.12,-6.32%,5540208
78,CAM,Cameron International Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,13658.48,23,65.09,0.20%,2056556
79,CAT,Caterpillar Inc.,Industrial Goods,Farm & Construction Machinery,USA,65721.28,17.87,105.07,-0.31%,2919706
80,CB,The Chubb Corporation,Financial,Property & Casualty Insurance,USA,22645.59,10.26,92.62,0.59%,834740
81,CBG,"CBRE Group, Inc",Financial,Property Management,USA,9625.55,26.12,28.99,8.82%,5670258
82,CBS,CBS Corporation,Services,Entertainment - Diversified,USA,33101.58,19.16,57.48,-0.48%,4688777
83,CCE,Coca-Cola Enterprises Inc.,Consumer Goods,Beverages - Soft Drinks,USA,11528.07,18.64,45.85,0.90%,1483585
84,CCI,Crown Castle International Corp.,Technology,Diversified Communication Services,USA,24547.65,147.08,73.54,1.11%,1842001
85,CCL,Carnival Corporation,Services,Resorts & Casinos,USA,30164.85,29.29,38.66,-1.65%,3856321
86,CELG,Celgene Corporation,Healthcare,Biotechnology,USA,60415.78,47.39,148.8,1.22%,2520597
87,CERN,Cerner Corporation,Technology,Healthcare Information Services,USA,17574.2,45.3,51.19,-0.22%,2552004
88,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Chemicals,USA,13143.02,9.83,242,-1.29%,573489
89,CFN,CareFusion Corporation,Healthcare,Medical Instruments & Supplies,USA,8110.15,23.17,38.92,-0.36%,1367156
90,CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,USA,18933.69,39.47,28.42,-1.15%,5724092
91,CHRW,CH Robinson Worldwide Inc.,Services,Air Delivery & Freight Services,USA,8645.32,22.23,58.68,-0.37%,1646617
92,CI,Cigna Corp.,Healthcare,Health Care Plans,USA,22270.83,15.78,82.05,2.51%,2381109
93,CINF,Cincinnati Financial Corp.,Financial,Property & Casualty Insurance,USA,8010.85,17.88,48.99,0.55%,526531
94,CL,Colgate-Palmolive Co.,Consumer Goods,Personal Products,USA,61425.39,28.04,67.01,-0.43%,2652325
95,CLF,Cliffs Natural Resources Inc.,Basic Materials,Industrial Metals & Minerals,USA,2702.04,20.76,17.65,-0.40%,3017222
96,CLX,The Clorox Company,Consumer Goods,Housewares & Accessories,USA,11613.95,20.84,89.4,-1.43%,2376029
97,CMA,Comerica Incorporated,Financial,Money Center Banks,USA,8745.1,16.86,48.05,-0.39%,991470
98,CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,135179.07,19.09,52.11,0.68%,13485515
99,CME,CME Group Inc.,Financial,Investment Brokerage - National,USA,23732.93,24.21,70.68,0.41%,2918394
100,CMG,"Chipotle Mexican Grill, Inc.",Services,Restaurants,USA,15544.66,46.92,500.15,0.33%,462782
101,CMI,Cummins Inc.,Industrial Goods,Diversified Machinery,USA,27854.14,19.13,151.48,0.42%,1130908
102,CMS,CMS Energy Corp.,Utilities,Electric Utilities,USA,8143.99,16.07,30.22,-0.30%,4024702
103,CNP,"CenterPoint Energy, Inc.",Utilities,Gas Utilities,USA,10610.49,34.36,24.74,-0.08%,4730327
104,CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,USA,10376.41,129.03,45.16,1.46%,3066071
105,COF,Capital One Financial Corp.,Financial,Credit Services,USA,42687.8,10.22,74.53,0.85%,4756226
106,COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,16441.23,48.05,39.4,0.31%,8810243
107,COH,"Coach, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,12216.3,12.79,44.01,-1.43%,10403765
