No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
293,MCK,McKesson Corporation,Services,Drugs Wholesale,USA,38707.87,31.38,168.2,-0.59%,2813236
294,MCO,Moody's Corp.,Services,Business Services,USA,16746.86,21.74,78.26,-0.31%,960286
295,MDLZ,"Mondelez International, Inc.",Consumer Goods,Confectioners,USA,60529.31,27.62,35.63,-0.06%,5171049
296,MDT,"Medtronic, Inc.",Healthcare,Medical Appliances & Equipment,USA,59257.96,16.77,59.21,0.66%,3765635
297,MET,"MetLife, Inc.",Financial,Life Insurance,USA,58106.5,17.78,51.57,-1.49%,8642527
298,MHFI,"McGraw Hill Financial, Inc.",Services,Business Services,USA,20269.26,25.45,74.07,0.19%,2456440
299,MHK,Mohawk Industries Inc.,Consumer Goods,Home Furnishings & Fixtures,USA,9708.36,26.4,133.32,0.69%,1008357
300,MJN,Mead Johnson Nutrition Company,Consumer Goods,Processed & Packaged Goods,USA,17716.09,26.25,87.66,-0.68%,1224481
301,MKC,McCormick & Co. Inc.,Consumer Goods,Processed & Packaged Goods,USA,8426.04,24.06,71.22,0.03%,355198
302,MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,27012.52,20.32,49.17,-0.28%,2455002
303,MMM,3M Co.,Industrial Goods,Diversified Machinery,USA,92129.17,20.41,140.81,1.24%,3993209
304,MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,USA,11191.02,34.35,66.98,0.03%,503378
305,MO,Altria Group Inc.,Consumer Goods,Cigarettes,USA,79120.71,17.62,39.83,-0.70%,11871308
306,MON,Monsanto Co.,Basic Materials,Agricultural Chemicals,USA,57784.5,21.87,110.24,-0.42%,2552167
307,MOS,The Mosaic Company,Basic Materials,Agricultural Chemicals,USA,19421.83,18.18,49.82,-0.44%,1253499
308,MPC,Marathon Petroleum Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,27950.56,14.4,95.44,2.68%,5538134
309,MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers - Major,USA,175319.76,40.28,59.62,1.81%,11724152
310,MRO,Marathon Oil Corporation,Basic Materials,Independent Oil & Gas,USA,25126.18,16.21,36.32,0.47%,6837391
311,MS,Morgan Stanley,Financial,Investment Brokerage - National,USA,62440,19.51,31.22,0.94%,10032708
312,MSFT,Microsoft Corporation,Technology,Business Software & Services,USA,330416.4,14.98,40,-0.99%,28736690
313,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,15918.11,15.32,62.65,-1.46%,4819144
314,MTB,M&T Bank Corporation,Financial,Regional - Northeast Banks,USA,15934.63,15.58,121.49,-0.43%,557008
315,MU,Micron Technology Inc.,Technology,Semiconductor- Memory Chips,USA,28097.48,10.89,26.25,0.50%,28222456
316,MUR,Murphy Oil Corporation,Basic Materials,Independent Oil & Gas,USA,11010.44,13,61.36,-3.26%,3606396
317,MWV,MeadWestvaco Corporation,Consumer Goods,Packaging & Containers,USA,6534.07,21.95,39.07,0.00%,3764628
318,MYL,"Mylan, Inc.",Healthcare,Drugs - Generic,USA,18498.8,31.48,49.74,-2.05%,8168411
319,NBL,"Noble Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,25695.51,28.49,71.23,-0.77%,1712543
320,NBR,Nabors Industries Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Bermuda,7439.44,69.69,25.09,-1.68%,4668861
321,NDAQ,Nasdaq OMX Group Inc.,Financial,Diversified Investments,USA,6284.75,14.31,36.93,0.08%,887987
322,NE,Noble Corp.,Basic Materials,Oil & Gas Drilling & Exploration,Switzerland,7738.56,9.98,30.45,-1.17%,3459201
323,NEE,"NextEra Energy, Inc.",Utilities,Electric Utilities,USA,44384.68,24.87,99.97,0.12%,2674090
324,NEM,Newmont Mining Corp.,Basic Materials,Gold,USA,12213.98,,24.53,-1.21%,6952668
325,NFLX,"Netflix, Inc.",Services,CATV Systems,USA,20170.95,126.51,336.52,4.50%,5280363
326,NFX,Newfield Exploration Co.,Basic Materials,Independent Oil & Gas,USA,4575.91,51.63,33.56,-0.86%,4552780
327,NI,NiSource Inc.,Utilities,Diversified Utilities,USA,11652.42,23.58,37.02,1.93%,2437167
328,NKE,Nike Inc.,Consumer Goods,Textile - Apparel Footwear & Accessories,USA,64033.97,24.64,72.92,-0.04%,2387100
329,NLSN,Nielsen Holdings N.V.,Technology,Information & Delivery Services,USA,17876.97,38.36,47.18,0.49%,2181201
330,NOC,Northrop Grumman Corporation,Industrial Goods,Aerospace/Defense - Major Diversified,USA,25827.43,13.48,120.61,-0.74%,1347946
